x, y, z
0.01, 10, 89
0.01, 10, 86
0.01, 10, 71
0.01, 10, 65
0.01, 10, 78
0.03, 10, 25
0.03, 10, 27
0.03, 10, 24
0.03, 10, 25
0.03, 10, 16
0.05, 10, 16
0.05, 10, 16
0.05, 10, 23
0.05, 10, 14
0.05, 10, 13
0.07, 10, 9
0.07, 10, 13
0.07, 10, 11
0.07, 10, 12
0.07, 10, 10
0.09, 10, 8
0.09, 10, 9
0.09, 10, 12
0.09, 10, 7
0.09, 10, 11
0.11, 10, 6
0.11, 10, 7
0.11, 10, 8
0.11, 10, 7
0.11, 10, 9
0.13, 10, 7
0.13, 10, 6
0.13, 10, 5
0.13, 10, 9
0.13, 10, 6
0.15, 10, 6
0.15, 10, 6
0.15, 10, 6
0.15, 10, 5
0.15, 10, 4
0.17, 10, 6
0.17, 10, 6
0.17, 10, 4
0.17, 10, 7
0.17, 10, 6
0.19, 10, 4
0.19, 10, 5
0.19, 10, 5
0.19, 10, 5
0.19, 10, 3
0.01, 14, 68
0.01, 14, 44
0.01, 14, 65
0.01, 14, 48
0.01, 14, 51
0.03, 14, 20
0.03, 14, 20
0.03, 14, 25
0.03, 14, 12
0.03, 14, 23
0.05, 14, 12
0.05, 14, 9
0.05, 14, 17
0.05, 14, 8
0.05, 14, 12
0.07, 14, 7
0.07, 14, 12
0.07, 14, 7
0.07, 14, 7
0.07, 14, 9
0.09, 14, 8
0.09, 14, 9
0.09, 14, 8
0.09, 14, 5
0.09, 14, 7
0.11, 14, 7
0.11, 14, 4
0.11, 14, 6
0.11, 14, 5
0.11, 14, 7
0.13, 14, 5
0.13, 14, 4
0.13, 14, 3
0.13, 14, 3
0.13, 14, 5
0.15, 14, 5
0.15, 14, 5
0.15, 14, 6
0.15, 14, 4
0.15, 14, 4
0.17, 14, 5
0.17, 14, 5
0.17, 14, 4
0.17, 14, 4
0.17, 14, 6
0.19, 14, 4
0.19, 14, 3
0.19, 14, 3
0.19, 14, 4
0.19, 14, 3
0.01, 18, 57
0.01, 18, 47
0.01, 18, 56
0.01, 18, 29
0.01, 18, 85
0.03, 18, 11
0.03, 18, 17
0.03, 18, 13
0.03, 18, 15
0.03, 18, 15
0.05, 18, 9
0.05, 18, 8
0.05, 18, 9
0.05, 18, 10
0.05, 18, 6
0.07, 18, 7
0.07, 18, 7
0.07, 18, 10
0.07, 18, 12
0.07, 18, 5
0.09, 18, 5
0.09, 18, 5
0.09, 18, 5
0.09, 18, 5
0.09, 18, 5
0.11, 18, 5
0.11, 18, 4
0.11, 18, 4
0.11, 18, 6
0.11, 18, 5
0.13, 18, 5
0.13, 18, 5
0.13, 18, 4
0.13, 18, 3
0.13, 18, 4
0.15, 18, 4
0.15, 18, 3
0.15, 18, 3
0.15, 18, 4
0.15, 18, 4
0.17, 18, 3
0.17, 18, 2
0.17, 18, 2
0.17, 18, 4
0.17, 18, 2
0.19, 18, 4
0.19, 18, 3
0.19, 18, 3
0.19, 18, 4
0.19, 18, 3
0.01, 22, 32
0.01, 22, 35
0.01, 22, 38
0.01, 22, 32
0.01, 22, 39
0.03, 22, 11
0.03, 22, 10
0.03, 22, 8
0.03, 22, 17
0.03, 22, 12
0.05, 22, 9
0.05, 22, 8
0.05, 22, 7
0.05, 22, 12
0.05, 22, 9
0.07, 22, 4
0.07, 22, 9
0.07, 22, 5
0.07, 22, 6
0.07, 22, 5
0.09, 22, 5
0.09, 22, 3
0.09, 22, 4
0.09, 22, 5
0.09, 22, 4
0.11, 22, 3
0.11, 22, 5
0.11, 22, 4
0.11, 22, 5
0.11, 22, 4
0.13, 22, 5
0.13, 22, 3
0.13, 22, 4
0.13, 22, 3
0.13, 22, 4
0.15, 22, 4
0.15, 22, 2
0.15, 22, 3
0.15, 22, 4
0.15, 22, 3
0.17, 22, 2
0.17, 22, 3
0.17, 22, 4
0.17, 22, 3
0.17, 22, 3
0.19, 22, 2
0.19, 22, 2
0.19, 22, 3
0.19, 22, 2
0.19, 22, 4
0.01, 26, 38
0.01, 26, 25
0.01, 26, 26
0.01, 26, 41
0.01, 26, 31
0.03, 26, 11
0.03, 26, 10
0.03, 26, 10
0.03, 26, 12
0.03, 26, 15
0.05, 26, 5
0.05, 26, 7
0.05, 26, 7
0.05, 26, 6
0.05, 26, 10
0.07, 26, 5
0.07, 26, 5
0.07, 26, 5
0.07, 26, 7
0.07, 26, 4
0.09, 26, 3
0.09, 26, 5
0.09, 26, 3
0.09, 26, 4
0.09, 26, 4
0.11, 26, 3
0.11, 26, 4
0.11, 26, 2
0.11, 26, 6
0.11, 26, 3
0.13, 26, 3
0.13, 26, 3
0.13, 26, 2
0.13, 26, 2
0.13, 26, 5
0.15, 26, 3
0.15, 26, 3
0.15, 26, 3
0.15, 26, 2
0.15, 26, 3
0.17, 26, 3
0.17, 26, 2
0.17, 26, 3
0.17, 26, 3
0.17, 26, 3
0.19, 26, 2
0.19, 26, 3
0.19, 26, 2
0.19, 26, 2
0.19, 26, 3
0.01, 30, 30
0.01, 30, 35
0.01, 30, 23
0.01, 30, 28
0.01, 30, 26
0.03, 30, 11
0.03, 30, 7
0.03, 30, 9
0.03, 30, 7
0.03, 30, 8
0.05, 30, 7
0.05, 30, 4
0.05, 30, 8
0.05, 30, 9
