x,y,z
0.01, 10, 18.8
0.03,  10, 30.8
0.05,  10, 14.6
0.07,  10, 11.8
0.07,  10, 9.2
0.09,  10, 7.2
0.11,  10, 6.4
0.13,  10, 5.8
0.15,  10, 5.2
0.15,  10, 4.2
0.17,  10, 4.6
0.19,  10, 4.0
0.01,  14, 24.0
0.03,  14, 36.8
0.03,  14, 16.0
0.05,  14, 9.2
0.07,  14, 7.6
0.09,  14, 6.6
0.11,  14, 5.4
0.11,  14, 4.4
0.13,  14, 3.0
0.15,  14, 4.2
0.17,  14, 3.6
0.19,  14, 3.6
0.19,  14, 2.6
0.01,  18, 37.8
0.03,  18, 25.2
0.05,  18, 9.4
0.07,  18, 6.4
0.07,  18, 6.8
0.09,  18, 4.0
0.11,  18, 3.6
0.13,  18, 4.2
0.15,  18, 3.0
0.15,  18, 2.8
0.17,  18, 2.2
0.19,  18, 2.4
0.01,  22, 14.8
0.03,  22, 24.0
0.03,  22, 9.4
0.05,  22, 7.2
0.07,  22, 5.4
0.09,  22, 3.8
0.11,  22, 3.2
0.11,  22, 3.6
0.13,  22, 3.0
0.15,  22, 2.6
0.17,  22, 2.4
0.19,  22, 2.4
0.19,  22, 2.2
0.01,  26, 26.0
0.03,  26, 12.4
0.05,  26, 7.8
0.07,  26, 5.6
0.07,  26, 4.2
0.09,  26, 3.0
0.11,  26, 2.6
0.13,  26, 3.0
0.15,  26, 2.4
0.15,  26, 2.2
0.17,  26, 2.2
0.19,  26, 2.0
0.01,  30, 14.0
0.03,  30, 17.6
0.03,  30, 6.2
0.05,  30, 5.6
0.07,  30, 4.4
0.09,  30, 3.6
0.11,  30, 2.6
0.11,  30, 2.6
0.13,  30, 2.2
0.15,  30, 2.0
0.17,  30, 1.6
0.19,  30, 1.8
0.19,  30, 1.6
0.01,  34, 18.0
0.03,  34, 12.0
0.05,  34, 6.6
0.07,  34, 3.4
0.07,  34, 3.4
0.09,  34, 2.2
0.11,  34, 2.4
0.13,  34, 1.8
0.15,  34, 2.0
0.15,  34, 2.0
0.17,  34, 1.6
0.19,  34, 1.8
0.01,  38, 9.6
0.03,  38, 12.0
0.03,  38, 6.0
0.05,  38, 4.4
0.07,  38, 2.8
0.09,  38, 3.4
0.11,  38, 2.2
0.11,  38, 2.0
0.13,  38, 1.8
0.15,  38, 1.6
0.17,  38, 1.8
0.19,  38, 1.6
0.19,  38, 1.6
0.01,  42, 14.2
0.03,  42, 9.6
0.05,  42, 6.4
0.07,  42, 2.8
0.07,  42, 2.2
0.09,  42, 2.4
0.11,  42, 1.8
0.13,  42, 1.8
0.15,  42, 2.2
0.15,  42, 1.6
0.17,  42, 1.6
0.19,  42, 1.6
0.01,  46, 8.8
0.03,  46, 11.2
0.03,  46, 4.8
0.05,  46, 3.2
0.07,  46, 2.0
0.09,  46, 1.8
0.11,  46, 2.2
0.11,  46, 2.0
0.13,  46, 1.6
0.15,  46, 1.8
0.17,  46, 1.8
0.19,  46, 1.6
